,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene
AcoR,AcoR,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,
LnrK,LnrK,1.6327394964536883e-08,8.16369748226844e-08,0.25,1.0,0.4,3.0,3.0,12.0,1.0,
DegU,DegU,2.8547056416082984e-11,1.427352820804149e-10,0.37037037037037035,0.11904761904761904,0.18018018018018017,10.0,84.0,27.0,1.0,
Xpf,Xpf,1.5489166624471791e-55,1.2391333299577433e-54,0.5,1.0,0.6666666666666666,27.0,27.0,54.0,1.0,
Fur,Fur,1.2130431240104759e-74,1.3343474364115234e-73,0.95,0.6229508196721312,0.7524752475247525,38.0,61.0,40.0,1.0,
CcpA-1,CcpA,7.893839462902429e-56,2.683905417386826e-54,0.7195121951219512,0.22519083969465647,0.3430232558139535,59.0,262.0,82.0,1.0,
CcpN,CcpN,1.544294950453034e-11,7.72147475226517e-11,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.0,6.0,6.0,1.0,
51,,,,,,,,,,,
52,,,,,,,,,,,
SG_4,,,,,,,,,,,True
G-box,G-box,6.185620686915186e-42,1.8556862060745558e-41,1.0,0.9375,0.967741935483871,15.0,16.0,15.0,1.0,
ResD,ResD,1.1516851508464579e-42,2.99438139220079e-41,0.4827586206896552,0.56,0.5185185185185185,28.0,50.0,58.0,1.0,
SigW,SigW,8.102747544969256e-84,7.29247279047233e-83,0.8727272727272727,0.6075949367088608,0.7164179104477612,48.0,79.0,55.0,1.0,
SigE,SigE,7.457681760385382e-55,1.715266804888638e-53,0.6288659793814433,0.25523012552301255,0.36309523809523814,61.0,239.0,97.0,1.0,
Rok,Rok,6.692924354288884e-17,1.6063018450293324e-15,0.15625,0.4411764705882353,0.23076923076923078,15.0,34.0,96.0,1.0,
GlpP,GlpP,1.0229013021861677e-13,1.0229013021861676e-12,0.38461538461538464,1.0,0.5555555555555556,5.0,5.0,13.0,1.0,
60,,,,,,,,,,,
61,,,,,,,,,,,
SG_5,,,,,,,,,,,True
MntR,MntR,1.6690697238501717e-15,1.6690697238501717e-15,1.0,0.7142857142857143,0.8333333333333333,5.0,7.0,5.0,1.0,
FapR,FapR,4.919296217342491e-22,2.9515777304054947e-21,0.8888888888888888,0.7272727272727273,0.7999999999999999,8.0,11.0,9.0,1.0,
AbrB,AbrB,6.614329846675676e-22,8.598628800678379e-21,0.8695652173913043,0.07380073800738007,0.13605442176870747,20.0,271.0,23.0,1.0,
CcpA-2,CcpA,4.27988066818121e-27,6.419821002271815e-26,0.8125,0.09923664122137404,0.17687074829931973,26.0,262.0,32.0,1.0,
KipR,KipR,6.440803132816905e-21,3.220401566408452e-20,0.7777777777777778,1.0,0.8750000000000001,7.0,7.0,9.0,1.0,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
