regulator,gene_id,effect
YcbG,BSU_02480,repression
YcbG,BSU_02470,repression
YcbG,BSU_02520,repression
YcbG,BSU_02460,repression
YcbG,BSU_02500,repression
YcbG,BSU_02510,repression
GntR,BSU_40080,repression
GntR,BSU_40070,repression
GntR,BSU_40060,repression
GntR,BSU_40050,repression
MtlR,BSU_03990,activation
MtlR,BSU_03981,activation
MtlR,BSU_03982,activation
LevR,BSU_27030,activation
LevR,BSU_27050,activation
LevR,BSU_27060,activation
LevR,BSU_27040,activation
LevR,BSU_27070,activation
YuxN,BSU_33029,repression
ResD,BSU_03280,activation
ResD,BSU_12290,repression
ResD,BSU_38750,activation
ResD,BSU_14150,activation
ResD,BSU_22550,activation
ResD,BSU_12280,repression
ResD,BSU_37400,activation
ResD,BSU_09280,repression
ResD,BSU_37410,activation
ResD,BSU_14170,activation
ResD,BSU_37430,activation
ResD,BSU_03290,activation
ResD,BSU_03300,activation
ResD,BSU_38730,activation
ResD,BSU_17370,activation
ResD,BSU_23140,activation
ResD,BSU_37370,activation
ResD,BSU_22560,activation
ResD,BSU_14870,activation
ResD,BSU_22540,activation
ResD,BSU_37360,activation
ResD,BSU_14930,activation
ResD,BSU_37420,activation
ResD,BSU_17380,activation
ResD,BSU_17390,activation
ResD,BSU_37380,activation
ResD,BSU_03320,activation
ResD,BSU_37390,activation
ResD,BSU_37350,activation
ResD,BSU_13040,activation
ResD,BSU_17400,activation
ResD,BSU_14910,activation
ResD,BSU_03750,activation
ResD,BSU_14160,activation
ResD,BSU_03760,activation
ResD,BSU_37310,activation
ResD,BSU_09290,repression
ResD,BSU_13360,activation
ResD,BSU_14920,activation
ResD,BSU_23130,activation
ResD,BSU_14890,activation
ResD,BSU_14880,activation
ResD,BSU_03310,activation
ResD,BSU_38760,activation
ResD,BSU_23120,activation
ResD,BSU_23110,activation
ResD,BSU_38130,repression
ResD,BSU_23150,activation
ResD,BSU_14900,activation
ResD,BSU_38740,activation
GanR,BSU_34160,repression
GanR,BSU_34120,repression
GanR,BSU_34130,repression
GanR,BSU_34150,repression
GanR,BSU_34140,repression
GanR,BSU_34170,repression
CcpN,BSU_21820,activation
CcpN,BSU_21810,activation
CcpN,BSU_29020,repression
CcpN,BSU_30560,repression
