,gene_id,database,kegg_id
346,BSU_00970,KEGG_pathway,-
349,BSU_00980,KEGG_pathway,map02020
350,BSU_00980,KEGG_pathway,map02024
352,BSU_00990,KEGG_pathway,map03010
356,BSU_01000,KEGG_pathway,map02024
357,BSU_01000,KEGG_pathway,map03060
358,BSU_01000,KEGG_pathway,map03070
359,BSU_01010,KEGG_pathway,-
361,BSU_01020,KEGG_pathway,map03010
363,BSU_01030,KEGG_pathway,map03010
365,BSU_01040,KEGG_pathway,map03010
367,BSU_01050,KEGG_pathway,map03010
368,BSU_01060,KEGG_pathway,-
373,BSU_01070,KEGG_pathway,map00230
374,BSU_01070,KEGG_pathway,map00240
375,BSU_01070,KEGG_pathway,map01100
376,BSU_01070,KEGG_pathway,map03020
381,BSU_01080,KEGG_pathway,map00230
382,BSU_01080,KEGG_pathway,map00240
383,BSU_01080,KEGG_pathway,map01100
384,BSU_01080,KEGG_pathway,map03020
386,BSU_01090,KEGG_pathway,map03010
388,BSU_01100,KEGG_pathway,map03010
390,BSU_01110,KEGG_pathway,map03010
391,BSU_01120,KEGG_pathway,-
392,BSU_01130,KEGG_pathway,-
394,BSU_01140,KEGG_pathway,map00330
396,BSU_01150,KEGG_pathway,map03010
398,BSU_01160,KEGG_pathway,map03010
400,BSU_01170,KEGG_pathway,map03010
402,BSU_01180,KEGG_pathway,map03010
404,BSU_01190,KEGG_pathway,map03010
406,BSU_01200,KEGG_pathway,map03010
408,BSU_01210,KEGG_pathway,map03010
410,BSU_01220,KEGG_pathway,map03010
412,BSU_01230,KEGG_pathway,map03010
414,BSU_01240,KEGG_pathway,map03010
416,BSU_01250,KEGG_pathway,map03010
418,BSU_01260,KEGG_pathway,map03010
420,BSU_01270,KEGG_pathway,map03010
422,BSU_01280,KEGG_pathway,map03010
424,BSU_01290,KEGG_pathway,map03010
426,BSU_01300,KEGG_pathway,map03010
428,BSU_01310,KEGG_pathway,map03010
430,BSU_01320,KEGG_pathway,map03010
432,BSU_01330,KEGG_pathway,map03010
434,BSU_01340,KEGG_pathway,map03010
436,BSU_01350,KEGG_pathway,map03010
440,BSU_01360,KEGG_pathway,map02024
441,BSU_01360,KEGG_pathway,map03060
442,BSU_01360,KEGG_pathway,map03070
448,BSU_01370,KEGG_pathway,map00230
449,BSU_01370,KEGG_pathway,map00730
450,BSU_01370,KEGG_pathway,map01100
451,BSU_01370,KEGG_pathway,map01110
452,BSU_01370,KEGG_pathway,map01130
453,BSU_01380,KEGG_pathway,-
454,BSU_01389,KEGG_pathway,-
455,BSU_01390,KEGG_pathway,-
457,BSU_01400,KEGG_pathway,map03010
459,BSU_01410,KEGG_pathway,map03010
461,BSU_01420,KEGG_pathway,map03010
466,BSU_01430,KEGG_pathway,map00230
467,BSU_01430,KEGG_pathway,map00240
468,BSU_01430,KEGG_pathway,map01100
469,BSU_01430,KEGG_pathway,map03020
471,BSU_01440,KEGG_pathway,map03010
473,BSU_01450,KEGG_pathway,map02010
475,BSU_01460,KEGG_pathway,map02010
477,BSU_01470,KEGG_pathway,map02010
478,BSU_01480,KEGG_pathway,-
480,BSU_01490,KEGG_pathway,map03010
482,BSU_01500,KEGG_pathway,map03010
483,BSU_01510,KEGG_pathway,-
484,BSU_01520,KEGG_pathway,-
486,BSU_01530,KEGG_pathway,map01503
487,BSU_01540,KEGG_pathway,-
488,BSU_01550,KEGG_pathway,-
491,BSU_01560,KEGG_pathway,map00540
492,BSU_01560,KEGG_pathway,map01503
493,BSU_01570,KEGG_pathway,-
494,BSU_01580,KEGG_pathway,-
497,BSU_01590,KEGG_pathway,map00040
498,BSU_01590,KEGG_pathway,map01100
499,BSU_01600,KEGG_pathway,-
501,BSU_01610,KEGG_pathway,map02010
503,BSU_01620,KEGG_pathway,map02010
505,BSU_01630,KEGG_pathway,map02010
506,BSU_01640,KEGG_pathway,-
511,BSU_01650,KEGG_pathway,map00520
512,BSU_01650,KEGG_pathway,map00531
513,BSU_01650,KEGG_pathway,map01100
514,BSU_01650,KEGG_pathway,map01501
519,BSU_01660,KEGG_pathway,map00520
520,BSU_01660,KEGG_pathway,map00531
521,BSU_01660,KEGG_pathway,map01100
522,BSU_01660,KEGG_pathway,map01501
524,BSU_01670,KEGG_pathway,map00550
529,BSU_01680,KEGG_pathway,map00010
530,BSU_01680,KEGG_pathway,map00500
531,BSU_01680,KEGG_pathway,map00520
532,BSU_01680,KEGG_pathway,map02060
533,BSU_01690,KEGG_pathway,-
536,BSU_01700,KEGG_pathway,map00520
537,BSU_01700,KEGG_pathway,map01100
538,BSU_01710,KEGG_pathway,-
547,BSU_01720,KEGG_pathway,map00230
548,BSU_01720,KEGG_pathway,map00240
549,BSU_01720,KEGG_pathway,map00473
550,BSU_01720,KEGG_pathway,map00550
551,BSU_01720,KEGG_pathway,map00760
552,BSU_01720,KEGG_pathway,map01100
553,BSU_01720,KEGG_pathway,map01110
554,BSU_01720,KEGG_pathway,map01502
555,BSU_01730,KEGG_pathway,-
556,BSU_01740,KEGG_pathway,-
557,BSU_01750,KEGG_pathway,-
558,BSU_01760,KEGG_pathway,-
562,BSU_01770,KEGG_pathway,map00520
563,BSU_01770,KEGG_pathway,map01100
564,BSU_01770,KEGG_pathway,map01130
570,BSU_01780,KEGG_pathway,map00250
571,BSU_01780,KEGG_pathway,map00520
572,BSU_01780,KEGG_pathway,map01100
573,BSU_01780,KEGG_pathway,map01130
574,BSU_01780,KEGG_pathway,map04931
576,BSU_01800,KEGG_pathway,map03410
578,BSU_01810,KEGG_pathway,map03410
580,BSU_01820,KEGG_pathway,map03410
583,BSU_01830,KEGG_pathway,map00190
584,BSU_01830,KEGG_pathway,map01100
585,BSU_01845,KEGG_pathway,-
587,BSU_01860,KEGG_pathway,map00910
588,BSU_01870,KEGG_pathway,-
589,BSU_01880,KEGG_pathway,-
590,BSU_01889,KEGG_pathway,-
591,BSU_01890,KEGG_pathway,-
597,BSU_01900,KEGG_pathway,map00250
598,BSU_01900,KEGG_pathway,map00520
599,BSU_01900,KEGG_pathway,map01100
600,BSU_01900,KEGG_pathway,map01130
601,BSU_01900,KEGG_pathway,map04931
602,BSU_01920,KEGG_pathway,-
603,BSU_01935,KEGG_pathway,-
604,BSU_01950,KEGG_pathway,-
605,BSU_01960,KEGG_pathway,-
606,BSU_01970,KEGG_pathway,-
609,BSU_01980,KEGG_pathway,map04621
610,BSU_01980,KEGG_pathway,map05418
611,BSU_01990,KEGG_pathway,-
612,BSU_02000,KEGG_pathway,-
613,BSU_02010,KEGG_pathway,-
614,BSU_02030,KEGG_pathway,-
615,BSU_02040,KEGG_pathway,-
616,BSU_02050,KEGG_pathway,-
617,BSU_02060,KEGG_pathway,-
618,BSU_02070,KEGG_pathway,-
619,BSU_02080,KEGG_pathway,-
621,BSU_02090,KEGG_pathway,map01501
626,BSU_02100,KEGG_pathway,map00071
627,BSU_02100,KEGG_pathway,map00380
628,BSU_02100,KEGG_pathway,map00627
629,BSU_02100,KEGG_pathway,map01120
630,BSU_02110,KEGG_pathway,-
631,BSU_02120,KEGG_pathway,-
636,BSU_02130,KEGG_pathway,map00564
637,BSU_02130,KEGG_pathway,map00790
638,BSU_02130,KEGG_pathway,map01100
639,BSU_02130,KEGG_pathway,map02020
641,BSU_02140,KEGG_pathway,map02020
642,BSU_02150,KEGG_pathway,-
643,BSU_02160,KEGG_pathway,-
644,BSU_02170,KEGG_pathway,-
647,BSU_02200,KEGG_pathway,map00520
648,BSU_02200,KEGG_pathway,map01100
649,BSU_02210,KEGG_pathway,-
650,BSU_02220,KEGG_pathway,-
656,BSU_02230,KEGG_pathway,map00230
657,BSU_02230,KEGG_pathway,map00670
658,BSU_02230,KEGG_pathway,map01100
659,BSU_02230,KEGG_pathway,map01110
660,BSU_02230,KEGG_pathway,map01130
662,BSU_02240,KEGG_pathway,map02024
663,BSU_02260,KEGG_pathway,-
668,BSU_02270,KEGG_pathway,map00260
669,BSU_02270,KEGG_pathway,map00564
670,BSU_02270,KEGG_pathway,map01100
671,BSU_02270,KEGG_pathway,map01110
672,BSU_02280,KEGG_pathway,-
676,BSU_02290,KEGG_pathway,map00564
677,BSU_02290,KEGG_pathway,map01100
678,BSU_02290,KEGG_pathway,map01110
679,BSU_02300,KEGG_pathway,-
680,BSU_02310,KEGG_pathway,-
681,BSU_02320,KEGG_pathway,-
682,BSU_02330,KEGG_pathway,-
684,BSU_02340,KEGG_pathway,map02020
691,BSU_02350,KEGG_pathway,map00010
692,BSU_02350,KEGG_pathway,map00500
693,BSU_02350,KEGG_pathway,map00520
694,BSU_02350,KEGG_pathway,map02026
695,BSU_02350,KEGG_pathway,map02060
696,BSU_02350,KEGG_pathway,map05111
704,BSU_02360,KEGG_pathway,map00030
705,BSU_02360,KEGG_pathway,map00520
706,BSU_02360,KEGG_pathway,map01100
707,BSU_02360,KEGG_pathway,map01110
708,BSU_02360,KEGG_pathway,map01120
709,BSU_02360,KEGG_pathway,map01130
710,BSU_02360,KEGG_pathway,map01200
711,BSU_02370,KEGG_pathway,-
722,BSU_02390,KEGG_pathway,map00270
723,BSU_02390,KEGG_pathway,map00280
724,BSU_02390,KEGG_pathway,map00290
725,BSU_02390,KEGG_pathway,map00770
726,BSU_02390,KEGG_pathway,map00790
727,BSU_02390,KEGG_pathway,map01100
728,BSU_02390,KEGG_pathway,map01110
729,BSU_02390,KEGG_pathway,map01130
730,BSU_02390,KEGG_pathway,map01210
731,BSU_02390,KEGG_pathway,map01230
732,BSU_02400,KEGG_pathway,-
741,BSU_02410,KEGG_pathway,map00270
742,BSU_02410,KEGG_pathway,map00670
743,BSU_02410,KEGG_pathway,map00720
744,BSU_02410,KEGG_pathway,map01100
745,BSU_02410,KEGG_pathway,map01110
746,BSU_02410,KEGG_pathway,map01120
747,BSU_02410,KEGG_pathway,map01200
748,BSU_02410,KEGG_pathway,map01523
750,BSU_02420,KEGG_pathway,map02020
760,BSU_02430,KEGG_pathway,map00220
761,BSU_02430,KEGG_pathway,map00250
762,BSU_02430,KEGG_pathway,map00471
763,BSU_02430,KEGG_pathway,map01100
764,BSU_02430,KEGG_pathway,map04724
765,BSU_02430,KEGG_pathway,map04727
766,BSU_02430,KEGG_pathway,map04964
767,BSU_02430,KEGG_pathway,map05206
768,BSU_02430,KEGG_pathway,map05230
772,BSU_02440,KEGG_pathway,map01503
773,BSU_02440,KEGG_pathway,map02020
774,BSU_02440,KEGG_pathway,map02026
776,BSU_02450,KEGG_pathway,map02020
779,BSU_02460,KEGG_pathway,map00053
780,BSU_02460,KEGG_pathway,map01100
800,BSU_02470,KEGG_pathway,map00010
801,BSU_02470,KEGG_pathway,map00040
802,BSU_02470,KEGG_pathway,map00053
803,BSU_02470,KEGG_pathway,map00071
804,BSU_02470,KEGG_pathway,map00280
805,BSU_02470,KEGG_pathway,map00310
806,BSU_02470,KEGG_pathway,map00330
807,BSU_02470,KEGG_pathway,map00340
808,BSU_02470,KEGG_pathway,map00380
809,BSU_02470,KEGG_pathway,map00410
810,BSU_02470,KEGG_pathway,map00561
811,BSU_02470,KEGG_pathway,map00620
812,BSU_02470,KEGG_pathway,map00625
813,BSU_02470,KEGG_pathway,map00903
814,BSU_02470,KEGG_pathway,map00981
815,BSU_02470,KEGG_pathway,map01100
816,BSU_02470,KEGG_pathway,map01110
817,BSU_02470,KEGG_pathway,map01120
818,BSU_02470,KEGG_pathway,map01130
819,BSU_02480,KEGG_pathway,-
822,BSU_02490,KEGG_pathway,map00053
823,BSU_02490,KEGG_pathway,map01100
824,BSU_02500,KEGG_pathway,-
828,BSU_02510,KEGG_pathway,map00040
829,BSU_02510,KEGG_pathway,map00053
830,BSU_02510,KEGG_pathway,map01100
831,BSU_02520,KEGG_pathway,-
832,BSU_02530,KEGG_pathway,-
833,BSU_02540,KEGG_pathway,-
834,BSU_02550,KEGG_pathway,-
835,BSU_02560,KEGG_pathway,-
836,BSU_02570,KEGG_pathway,-
837,BSU_02580,KEGG_pathway,-
838,BSU_02590,KEGG_pathway,-
839,BSU_02600,KEGG_pathway,-
840,BSU_02610,KEGG_pathway,-
844,BSU_02620,KEGG_pathway,map00790
845,BSU_02620,KEGG_pathway,map01100
846,BSU_02620,KEGG_pathway,map02020
849,BSU_02630,KEGG_pathway,map03060
850,BSU_02630,KEGG_pathway,map03070
853,BSU_02640,KEGG_pathway,map03060
854,BSU_02640,KEGG_pathway,map03070
855,BSU_02650,KEGG_pathway,-
856,BSU_02660,KEGG_pathway,-
857,BSU_02670,KEGG_pathway,-
858,BSU_02680,KEGG_pathway,-
863,BSU_02690,KEGG_pathway,map00250
864,BSU_02690,KEGG_pathway,map00460
865,BSU_02690,KEGG_pathway,map01100
866,BSU_02690,KEGG_pathway,map01110
869,BSU_02700,KEGG_pathway,map00561
870,BSU_02700,KEGG_pathway,map01100
871,BSU_02710,KEGG_pathway,-
