Geneid,SRX7255887,SRX7255888,SRX7255889,SRX7255890,SRX7255891,SRX7255892,SRX7255893,SRX7255894,SRX7255895,SRX7255896,SRX7255897,SRX7255898,SRX7255899,SRX7255900,SRX7255901,SRX7255902,SRX7255903,SRX7255904,SRX7255905,SRX7255906,SRX7255907,SRX7255908,SRX7255909,SRX7255910,SRX7255911,SRX7255912,SRX7255913,SRX7255914,SRX7255915,SRX7255916,SRX7255917
BSU_00110,6.311070933090531,6.406163276636635,6.226631188281236,9.777673913217276,9.92917778061837,9.838364776081702,8.918790925725071,8.72256929981015,8.713571292467396,9.106673111665875,9.118232868809242,9.56919462599667,8.638093116218966,8.397622491696959,8.394275547521838,7.8153182951040305,7.526209041598303,7.699427681868711,7.919361239658544,7.768052375787748,7.879786832814519,7.740178178919262,6.986536244883743,7.429195636953634,7.647337070894212,6.865229063263854,6.655093086272768,5.84335029782955,7.1525530456691175,6.819390864605973,3.8039428411465437
BSU_00120,6.957231119713984,7.209225541417191,6.896604422669619,9.952084899710352,10.101655063566122,10.005735617632634,9.233094027730452,8.818221542422156,9.013376054348253,9.199715018674699,9.241815149884443,9.659105109725193,8.678587853943553,8.419985026271883,8.427222392090549,7.975141038745801,7.568075493023121,7.826115313696889,7.964174108413208,7.766938919660596,7.98087354174244,7.726310946060885,7.075731746488007,7.551254197819811,7.4988368068067315,6.318223249305766,6.57425671664013,5.580660247036,7.036209788186149,6.772642362318617,5.31596330383627
BSU_00130,7.96176173599932,7.818750125545281,8.029844770362425,7.824588951317121,7.897058756834405,7.943058241686236,7.943410359314442,7.493039370372778,7.3464935584408915,6.735425189383666,6.890142948348213,7.228286931398964,6.476913465753298,6.284441749957172,6.223559393181835,6.0756161015085555,5.78194617889305,5.999642164904672,6.1235904867873865,5.87055486535635,6.00601382901897,5.894194181678047,5.458418157711434,5.862473955154456,5.755325742434527,4.629129292402621,4.811290983591367,4.393922003616666,5.1447764877144255,4.901499827924723,0.0
BSU_00140,2.9427611548668384,3.1540813646245573,3.1205057360658843,7.083057930154391,7.113593718078735,7.183132774807555,5.800718973592135,6.122657397928097,5.823541296671484,6.53070425650203,6.489400502401286,6.885936609272392,6.259021767931541,6.139454351372514,6.057906077351464,5.941643663302592,5.802761076852659,5.86780052648399,6.354138535302783,6.221098696453105,6.346730519395857,6.0181088241032805,5.47242363404519,5.754240437260696,6.396206997800028,3.6088928787864805,3.03828334047292,3.020453247943678,4.957081153040189,4.4837245828615995,5.173686316690154
BSU_00150,2.140068404349541,2.058832957246431,2.5926061487604595,6.921754569075941,6.953469162978274,7.027678011964673,5.844271872523814,6.000666604191002,5.994537669663415,6.41122106702327,6.516867239151647,6.827627991386638,6.228496211049332,6.046951496358117,6.099747036703393,5.812773985250237,5.779456761731388,5.842141085845694,6.38863940297678,6.2372022356493355,6.314164854376982,5.964615957363181,5.563557273561707,6.011700618633349,6.391584510407623,4.151395299782492,3.2693770370445616,3.305992377079568,5.221234629616916,4.640269066429745,0.0
BSU_00160,5.422122596220922,5.739833602830295,5.3096328849274625,1.887072387372785,1.309235919476252,1.075365708490128,2.271856376478547,1.4542380870173388,1.4959299519193698,0.6995904884896758,1.0426082574105702,0.6654436848648929,7.1172517836260205,7.197749286617181,7.088320244247505,8.487062787578068,8.76493602677918,8.653731275335707,8.651725052138772,8.73347954110404,8.743385160880177,8.814058781257978,8.661101639979837,8.617844559183096,9.530583331703822,8.474642126362683,8.18648411033398,6.489412794678786,6.75863588272637,7.50294479112032,5.199670064599203
BSU_00170,6.3557510019230214,6.583837133772358,6.016011360641584,3.1525092168510422,2.316071114568089,2.147142794421962,3.5988611036561595,2.8715981962141686,2.7459054419942044,1.2516924669879084,1.4855453101002962,0.9539537991453197,5.932287962052363,6.08178731414558,5.433920538317248,6.581104392539669,7.158817868949374,7.16686152722434,6.344180885517198,6.781999280113918,6.664942751983406,6.232279165602834,6.680565853477521,6.76235347283012,8.30704565014541,6.83389787817906,6.148963808988037,7.185238494313502,7.211702622847509,8.43874798965681,0.0
BSU_00180,3.022507976920139,3.3976067056995283,3.1364920564130148,5.838853255680263,6.0924572991371635,5.863506672522372,4.58502421031599,4.752828904797052,4.773378483225383,5.128973124621003,5.119350701058934,5.704798175947975,5.520705978552388,5.376008084675004,5.41795752110318,5.19831054331291,5.315589255551108,5.313538220862938,5.316703480690634,5.266919452496552,5.400117420571031,5.4695120533532595,5.212495672848413,5.05588017730075,5.307761101510191,5.407676707726756,5.156877416926834,3.2431865525181225,4.231850141511246,4.542964266418015,0.0
BSU_00190,4.800090135184714,4.845857714625818,4.807928183054587,6.544156961532029,6.70964981732231,6.618906800925467,5.489639337128517,5.726998900061587,5.637853060481946,5.823493904537454,5.865684094592766,6.157711796708206,5.897430607608532,5.873149018906422,5.800522988795067,6.0213222338647965,6.041969648902225,5.99678569080947,6.141866152366592,6.073564770308994,6.173760253214027,5.909722948222417,5.627448328661281,5.893726175385849,6.608081694181726,5.828268756997065,5.520008232023518,4.057696916188769,5.468757018140031,5.02807487439866,4.814006287716004
BSU_00200,6.334431139429584,6.471244957680319,6.2809376729116355,7.764334539021995,7.806909661633442,7.701825823862959,7.0650982772465,7.214849703105941,7.273313828727405,7.726505554554137,7.764502183033011,7.531664787235702,7.6684830593464435,7.836922002461329,7.548871799809554,7.270448197166403,7.258123765868963,7.326657075853021,6.981528196332043,7.073413223080488,7.111652698502084,6.783000313818567,6.007450120773215,6.6490225499976505,6.945440620239416,3.6211044599617592,3.5964920141639865,3.357732009976956,5.544453404799299,5.795100663637493,0.0
BSU_00210,4.92654743211906,5.053368619868265,5.1075534859613185,6.581052113767296,6.5946602087522175,6.575708027623352,5.552821981953704,5.588333758948007,5.317226935724044,5.365463592783121,5.56925742753852,5.867309246080552,5.939470626707405,5.903889255635382,5.747298019149841,6.115963024943753,6.23515064303962,6.17803451442625,6.344691465715057,6.312159944714471,6.441400779239944,5.9095928055241655,5.850442102093756,6.186423662930711,6.755029363534404,5.4138231923295885,4.923993269622636,3.5596094718479128,4.66496669611705,4.8135773246752285,0.0
BSU_00220,5.608670137278999,5.531684479480772,5.563626904724314,7.001068180717206,7.136768176101958,6.928686238337948,5.8414865789361246,5.80499765226158,5.7386448410385285,5.987000398982302,5.9849530048584,6.379774843077613,6.44012703211937,6.435071301011369,6.282248577762028,6.8969951620210574,6.918034961143722,6.830832104356281,7.117035117152236,7.009774417165001,7.141310003059859,6.198627944318821,6.372485128916632,6.48453804082705,7.290906273504562,4.964918052949371,4.246102497692628,2.992618181373612,5.001609969151981,4.749504617885909,0.0
BSU_00230,2.544218724934163,2.8166242182813654,3.2756264222677935,4.309845598347027,4.502779202259177,4.486058960140828,2.943614458089927,3.5941864573065065,3.319382384171073,3.411558469630952,3.8540764998641284,3.7834175591068218,5.872050940596642,5.508746637802109,5.828488092980295,6.509848398927391,6.721360449537217,6.37703826184772,6.154671716355764,6.3082668815901055,6.105159939182925,5.158162074456338,6.012336578525381,6.066338920219609,6.065217704191778,3.7952091740647833,4.101950299503112,2.018023787849651,3.52968021643117,3.904050652397761,0.0
BSU_00240,3.995982182649381,4.462378795230803,5.107768447830325,4.567772809272505,4.975799774055968,4.836075220643359,1.4714256606648222,2.983405027207087,2.5940764458498164,3.762239847669121,4.078730682802774,3.542346063930678,5.71933994821892,6.299641413959345,6.160378937300596,6.795937155087683,7.102753858443552,7.06603590124189,6.557379650807473,7.002706144863407,6.810394337538676,5.697789996216129,6.304841168421458,6.358451513008123,4.843333112281884,1.8809778973090778,0.0,1.6157971639980129,3.543232855757169,3.626245894409927,0.0
BSU_00250,7.611903588149259,8.05894602567685,6.980569278115037,6.286736897407863,6.322436086404025,6.2326808988736255,5.9090286182947915,5.898757419532734,5.847264821317866,6.524321198363217,6.595604548067776,6.527155085454351,6.788091686693393,6.676875770766056,6.754360485335858,6.678069956453057,6.95646346191946,6.903998903446009,6.554578793535994,6.508715212746443,6.501186477737824,7.1795980139696685,6.7954101456852465,6.797477318343372,6.5890371325183805,4.729202681763912,4.423609442419713,4.018232248599012,5.461155707934619,5.830176971388487,4.297171293554381
BSU_00260,7.608048405156543,7.9834246942304885,6.991538865848974,6.057166569125494,6.107406558011427,6.022496206544293,6.227848804422104,5.850882257004682,5.770858317511234,5.8086466427092445,5.822318296653775,6.002911372122621,6.431532311935445,6.360537257591146,6.317123949722303,6.380183535194812,6.569369830085892,6.516842756847,6.422030244752778,6.31708926228411,6.315928390124329,7.0175046396721,6.586549793205515,6.55623631595709,6.659869177382609,4.332970262544075,4.025883450202777,3.526028381539603,5.41404462977693,5.452558806842068,4.376339129801204
BSU_00270,7.112562963321908,7.495717398209,6.7260115403049685,6.540567100481061,6.654336778125649,6.570696788463047,5.693939184007838,5.672525786046262,5.593394423194447,6.111032480764876,6.212825572516525,6.374271324812302,6.187309004852239,6.110956187927005,6.1442246006050985,6.077336239413331,6.082496239940266,6.109206064180282,6.018103183315784,5.846866255607013,5.9951374316765955,6.245776030226508,5.918221795327502,6.064963208707525,6.428865217659749,5.599934038660053,5.640828092174697,4.409054774996492,5.818158970118263,5.502885914029526,3.1623211965117113
