Geneid,SRX7255900,SRX7255906,SRX7255905,SRX7255902,SRX7255887,SRX7255895,SRX7255891,SRX7255892,SRX7255916,SRX7255889,SRX7255917,SRX7255909,SRX7255913,SRX7255888,SRX7255897,SRX7255908,SRX7255912,SRX7255911,SRX7255914,SRX7255894,SRX7255904,SRX7255910,SRX7255907,SRX7255893,SRX7255901,SRX7255915,SRX7255890,SRX7255898,SRX7255899,SRX7255903,SRX7255896
BSU_31260,855,595,688,837,955,16746,5269,4454,568,1076,1,488,86,689,2977,878,87,690,222,17748,640,759,832,28064,870,381,5094,3737,1029,755,3340
BSU_31270,782,1861,2130,1554,33,69,73,54,140,79,15,2039,121,43,35,1839,195,1547,203,59,1107,1651,2883,69,878,147,67,56,961,1647,42
BSU_31279,1056,1068,1012,2033,738,349,386,244,4175,856,2,1416,871,660,201,1318,742,2682,2463,396,1742,1472,1442,497,780,1891,355,359,1069,2147,274
BSU_31280,1753,1606,1461,3170,729,516,637,419,4874,924,1,1733,589,642,283,2433,572,3595,1830,465,2773,1888,1976,646,1238,2000,576,523,1930,3402,449
BSU_31289,1,5,6,7,0,0,1,0,2,3,0,16,0,0,0,16,21,10,1,2,8,11,17,0,9,1,2,0,4,7,0
BSU_31290,2210,3110,3719,3679,86,195,338,264,377,205,3,2633,176,60,166,3540,216,4052,163,182,2673,2707,4905,148,2049,272,277,232,2275,3797,261
BSU_31300,414,833,969,921,396,128,94,80,224,538,142,613,74,280,72,779,578,771,1658,181,721,657,1223,220,462,196,87,109,480,1030,105
BSU_31310,2854,2805,3059,3921,1402,1538,2081,1474,883,1715,183,2711,363,1158,793,3283,1255,2319,2397,1798,3170,2735,4091,2118,2812,764,1750,1532,3023,4265,1334
BSU_31319,278,423,473,404,21,2,1,5,55,26,32,338,11,23,1,420,105,456,309,0,384,334,612,0,323,44,1,5,303,587,4
BSU_31321,227,350,309,446,115,6,2,5,1025,114,1,300,59,138,11,292,71,1041,342,10,426,344,435,7,184,464,11,11,253,604,7
BSU_31322,636,947,1012,1299,392,37,43,37,3129,437,10,1101,949,392,37,1030,736,3083,1774,23,1321,1323,1400,45,526,1424,38,36,658,1738,29
BSU_31330,1823,2197,2132,3117,22602,1014,201,192,1156,29840,17,2825,943,16897,442,3347,967,1999,759,801,2102,2714,2732,1222,1824,1561,240,534,1755,2611,567
BSU_31340,2051,2003,2276,3559,25312,2229,356,271,1318,33534,13,3394,864,18159,732,3664,866,2380,825,2125,2320,3272,2928,2743,2051,1694,290,807,1920,3012,862
BSU_31350,19122,9528,12399,15829,7349,12761,27340,21749,5536,7756,23,8324,837,5170,12985,14315,896,12998,1978,13467,11258,10339,14630,14384,17080,6255,25004,22757,20479,12967,19839
BSU_31360,1443,768,993,868,306,2500,1500,1047,222,385,13,640,36,240,1177,918,169,649,211,2716,769,769,1364,3460,1217,205,1419,1687,1544,942,1730
BSU_31370,9161,5013,5942,6480,2934,12763,14058,10279,1579,3695,0,3738,281,2149,7294,6213,203,5222,556,14092,5524,4682,8757,17340,8544,1489,12513,12578,10914,7516,11484
BSU_31380,6599,8212,8414,7663,321,125,356,197,24564,391,3,6588,2288,347,26,5911,1646,17010,22309,95,7335,6824,14265,190,5778,18657,391,45,7279,11527,47
BSU_31390,11601,5567,7464,10839,466,13267,51104,40410,2337,496,9,2319,49,446,20660,4131,66,2520,713,16019,6542,3062,9215,8278,14779,2384,46046,23696,15962,10061,34769
BSU_31400,7331,2495,3358,4882,3746,4473,15556,12289,1886,4752,86,1640,757,2630,4972,3232,1076,3133,1389,4340,3445,2164,4135,4900,6863,2421,14118,8327,8230,3776,7386
BSU_31410,2772,1070,1287,1905,338,1831,6033,4846,697,397,8,575,183,296,2030,1070,187,1280,320,1533,1395,751,1625,1717,2653,793,5299,3163,3186,1523,2852
BSU_31420,262,659,758,684,63,76,68,72,271,105,9,548,58,71,47,588,129,591,158,70,535,592,1000,76,315,179,70,66,350,813,64
BSU_31430,919,278,259,420,84,838,1098,777,160,97,2,164,21,50,1077,275,36,168,62,811,353,175,383,353,904,97,908,1164,756,528,1588
BSU_31440,914,520,604,856,72,1026,2856,2226,225,217,19,324,58,93,895,555,181,519,221,868,614,367,746,1085,975,212,2529,1470,1137,700,1262
BSU_31450,1223,799,869,1083,45,1160,2104,1676,369,59,40,287,137,34,1508,570,627,678,444,1049,722,402,1043,805,1403,448,1860,2402,1519,955,2589
BSU_31460,676,294,322,501,18,562,1302,890,120,22,34,158,27,17,543,310,401,257,170,527,383,213,436,512,626,123,1006,921,704,428,941
BSU_31470,1096,2156,2329,1457,133,126,244,169,377,202,0,3609,280,124,124,2398,287,2015,154,137,1099,2640,3307,142,1167,308,214,210,1110,1691,228
BSU_31480,5981,5190,5244,2594,2290,1569,1391,1230,18714,2693,30,2798,5793,1940,666,4031,4725,18555,11045,1447,3849,3022,9677,2264,5178,18618,1494,823,6981,5610,1034
BSU_31490,12136,8677,8779,7102,6177,5573,9017,8268,21791,7293,57,5242,2652,4805,4563,8261,2867,26874,9407,5614,6671,6022,14933,5910,11161,21946,9379,6718,13687,9341,7037
BSU_31500,3122,1781,1648,1997,1973,2411,3570,3240,4341,2420,1,1063,1166,1634,2462,1844,742,4569,2468,2493,1616,1232,3194,1828,3280,4444,3229,3051,3821,2179,3914
BSU_31510,2173,1131,1530,1666,97,1611,5500,4627,656,126,4,463,83,69,2834,910,72,1054,257,2282,1151,799,1714,1114,2498,498,4882,5068,2785,1356,4437
BSU_31520,2067,1138,1347,1981,558,1254,2159,2000,726,691,29,1016,130,413,1102,1769,335,2014,730,1240,1701,1195,1930,1268,1828,797,2264,1737,2262,2028,1878
BSU_31530,1234,701,719,1306,295,876,1573,1332,379,378,0,567,40,256,727,975,39,973,118,934,1051,639,1101,1052,1294,350,1513,1112,1389,1306,1207
BSU_31540,7654,4857,6337,13499,526,3930,3152,3407,2499,750,0,4126,1290,406,2260,6156,1000,6392,1227,3646,7770,4983,6245,4456,6405,4273,3726,3982,7020,8128,4294
BSU_31550,2227,1371,1769,4406,286,1423,1209,1389,687,333,8,1679,787,213,851,1834,755,2320,481,1183,2411,1876,1762,1475,2158,1410,1488,1458,2212,2453,1788
BSU_31560,1583,931,1140,2914,264,912,834,932,544,426,0,1018,502,218,543,1377,480,1379,335,655,1874,1096,1170,929,1582,964,1039,914,1592,1687,1120
BSU_31570,1191,810,959,2346,391,615,579,697,519,575,3,791,623,328,420,1074,581,1194,273,412,1582,827,996,682,1241,821,764,717,1245,1399,776
BSU_31580,649,403,432,1091,63,5715,3506,3357,327,154,6,314,103,66,1836,1289,79,528,156,5541,678,379,475,6596,611,327,3972,2112,586,740,2377
BSU_31590,71,98,84,74,10,8,8,6,7,14,0,71,1,8,2,86,2,69,3,7,61,87,133,2,61,7,10,3,58,97,5
BSU_31600,2679,1603,1906,2074,3101,1856,2609,2556,1240,4144,9,1112,403,2401,1548,1832,389,2425,535,1893,1852,1397,2771,2185,2648,1087,3123,2253,3344,2346,2315
BSU_31610,411,249,278,304,717,325,322,294,338,970,4,211,151,578,180,279,128,403,136,290,269,237,364,435,324,193,427,271,488,313,279
BSU_31620,267,175,199,227,585,310,292,260,229,715,3,149,45,428,159,194,67,329,121,308,209,183,318,372,286,137,350,244,376,297,267
BSU_31630,1163,664,710,842,2863,1112,1135,1108,725,3711,40,541,252,2078,606,783,450,1096,519,1144,798,572,1139,1456,1066,605,1391,955,1439,944,952
BSU_31640,403,243,278,255,1543,501,459,448,258,2066,21,167,34,1014,258,214,196,397,200,523,231,196,411,577,389,170,597,365,568,310,344
BSU_31650,217,102,120,106,918,219,214,219,106,1140,2,68,48,644,113,110,125,180,99,189,90,84,174,239,197,58,277,183,271,148,161
BSU_31660,326,178,182,209,1844,294,352,340,129,2400,19,123,43,1275,145,208,155,319,145,263,155,160,352,360,322,135,426,216,404,209,256
BSU_31670,1175,694,828,934,369,383,745,515,394,662,1,592,541,402,547,1030,392,982,193,305,720,636,1043,442,991,498,589,836,1276,598,765
BSU_31680,2455,1363,1753,2392,222,837,1682,1101,749,293,0,1341,144,195,956,2059,177,2031,303,783,1474,1596,1990,751,1904,947,1364,1513,2293,1811,1442
BSU_31690,9498,4827,5613,11806,1291,4411,7218,6039,2587,1617,21,4312,535,1231,6864,5838,476,5658,636,4974,7691,5119,6423,3662,9908,2556,6870,8887,10213,7705,9734
BSU_31700,697,479,534,1039,123,222,513,405,185,203,5,417,3,150,587,474,9,480,10,319,801,433,663,124,769,81,445,676,786,846,912
BSU_31710,3007,2242,2298,3596,542,569,1267,878,641,832,3,1532,10,557,1341,1997,19,1704,53,926,2635,1747,2955,435,2881,423,1072,1733,2901,2848,2144
BSU_31720,3717,349,268,838,119,691,20463,19244,396,118,0,176,2,112,576,255,9,274,181,1008,906,206,465,187,3101,476,24690,625,2912,891,1123
BSU_31725,13,10,16,12,2,2,4,3,10,3,1,10,1,1,2,14,1,5,4,4,6,8,25,4,12,7,5,9,9,19,8
BSU_31730,1229,2589,2514,2696,15,5,4,1,177,66,22,2900,199,26,6,4293,260,2895,108,1,2296,2392,3562,5,1225,153,5,20,1268,2566,10
BSU_31740,2820,1239,1647,1801,1082,2841,4988,3973,1463,1151,18,672,116,1076,3190,1128,334,1902,487,3005,1289,913,2143,2245,2917,1142,3979,4546,3335,1603,4617
BSU_31750,6864,2717,3838,5111,897,5671,7240,5180,1216,1137,0,2724,364,792,3938,4048,301,2730,406,5911,3473,3544,4158,6776,5759,1197,6393,6555,6831,3629,5974
BSU_31760,2548,1146,1414,1509,157,1784,2129,1521,596,208,0,899,54,158,1192,1369,54,1067,174,2162,1071,1188,1578,2315,1836,459,1875,2181,2246,1264,1783
BSU_31770,1167,807,1032,1062,155,608,1660,1192,507,167,0,647,106,104,689,1037,103,1066,179,777,834,715,1306,766,1125,548,1372,1037,1266,1057,1032
BSU_31780,775,537,526,728,107,513,1260,971,331,108,0,377,12,101,584,636,19,683,117,563,522,460,782,434,820,310,1007,872,975,764,785
