regulator,gene_id,effect
GerE,BSU30890,activation
GerE,BSU34520,activation
GerE,BSU32640,activation
GerE,BSU11320,activation
GerE,BSU30900,activation
GerE,BSU07280,activation
GerE,BSU11760,activation
GerE,BSU19490,repression
GerE,BSU13789,activation
GerE,BSU37840,activation
GerE,BSU37870,activation
GerE,BSU10600,repression
GerE,BSU19750,activation
GerE,BSU36060,repression
GerE,BSU37810,activation
GerE,BSU37900,activation
GerE,BSU37880,activation
GerE,BSU37820,activation
GerE,BSU11750,activation
GerE,new_2625913_2626090_c,transcription repression
GerE,BSU07300,activation
GerE,BSU10900,repression
GerE,BSU37860,activation
GerE,BSU19810,activation
GerE,BSU10610,repression
GerE,BSU30910,activation
GerE,BSU15950,activation
GerE,BSU37910,activation
GerE,BSU06300,repression
GerE,BSU17030,repression
GerE,BSU25760,repression
GerE,BSU19770,activation
GerE,BSU17670,activation
GerE,BSU11780,activation
GerE,BSU11740,activation
GerE,BSU28320,repression
GerE,BSU17700,activation
GerE,BSU07290,activation
GerE,BSU22250,activation
GerE,BSU10710,repression
GerE,BSU12090,repression
GerE,BSU19790,activation
GerE,BSU09958,activation
GerE,BSU30880,repression
GerE,BSU04110,activation
GerE,BSU10700,repression
GerE,BSU18670,repression
GerE,BSU06850,activation
GerE,BSU25710,activation
GerE,BSU36050,repression
GerE,BSU31270,repression
GerE,BSU11770,activation
GerE,BSU37850,activation
GerE,BSU36040,repression
GerE,BSU10670,repression
GerE,BSU39580,activation
GerE,BSU05550,repression
GerE,BSU19780,activation
GerE,BSU07310,activation
GerE,BSU10680,repression
GerE,BSU10720,repression
GerE,BSU19760,activation
GerE,BSU17970,repression
GerE,BSU32650,activation
GerE,BSU26390,repression
GerE,BSU14970,activation
GerE,BSU07270,activation
GerE,BSU30870,repression
GerE,BSU22200,activation
GerE,BSU05560,repression
TyrZ,BSU38450,sigma factor
TyrZ,BSU38460,sigma factor
YcbG,BSU02490,repression
YcbG,BSU02480,repression
YcbG,BSU02470,repression
YcbG,BSU02520,repression
YcbG,BSU02460,repression
YcbG,BSU02500,repression
YcbG,BSU02510,repression
GntR,BSU40080,repression
GntR,BSU40070,repression
GntR,BSU40060,repression
GntR,BSU40050,repression
MtlR,BSU03990,activation
MtlR,BSU03981,activation
MtlR,BSU03982,activation
LevR,BSU27030,activation
LevR,BSU27050,activation
LevR,BSU27060,activation
LevR,BSU27040,activation
LevR,BSU27070,activation
YuxN,BSU33029,repression
ResD,BSU03280,activation
ResD,BSU12290,repression
ResD,BSU38750,activation
ResD,BSU14150,activation
ResD,BSU22550,activation
ResD,BSU12280,repression
ResD,BSU37400,activation
ResD,BSU09280,repression
ResD,BSU37410,activation
ResD,BSU14170,activation
ResD,BSU37430,activation
ResD,BSU03290,activation
ResD,BSU03300,activation
ResD,BSU38730,activation
ResD,BSU17370,activation
ResD,BSU23140,activation
ResD,BSU37370,activation
ResD,BSU22560,activation
ResD,BSU14870,activation
ResD,BSU22540,activation
ResD,BSU37360,activation
ResD,BSU14930,activation
ResD,BSU37420,activation
ResD,BSU17380,activation
ResD,BSU17390,activation
ResD,BSU37380,activation
ResD,BSU03320,activation
ResD,BSU37390,activation
ResD,BSU37350,activation
ResD,BSU13040,activation
ResD,BSU17400,activation
ResD,BSU14910,activation
ResD,BSU03750,activation
ResD,BSU14160,activation
ResD,BSU03760,activation
ResD,new_1399409_1400187,activation
ResD,BSU37310,activation
ResD,BSU09290,repression
ResD,BSU13360,activation
ResD,BSU14920,activation
ResD,BSU23130,activation
ResD,BSU14890,activation
ResD,BSU14880,activation
ResD,BSU03310,activation
ResD,BSU38760,activation
ResD,BSU23120,activation
ResD,BSU23110,activation
ResD,BSU38130,repression
ResD,BSU23150,activation
ResD,BSU14900,activation
ResD,BSU38740,activation
GanR,BSU34160,repression
GanR,BSU34120,repression
GanR,BSU34130,repression
GanR,BSU34150,repression
GanR,BSU34140,repression
GanR,BSU34170,repression
CcpN,BSU21820,activation
CcpN,BSU21810,activation
